nom;titre;année;auteur;date mort;type;commentaire;url
bozec_methode_1933;Le Français par le Breton - méthode bilingue;1933;Le Bozec;;méthode;;https://bibliotheque.idbe.bzh/document.php?id=le-francais-par-le-breton-methode-bilingue-20038&l=fr
colloque_1890;Colloque français et Breton;1980;Anonyme;;lexique;;https://bibliotheque.idbe.bzh/document.php?id=colloque-francais-et-breton-46420&l=fr
colloque_lourec_1884;Colloque français Breton Le Lourec 1884;1884;Le Lourec;;lexique;;https://bibliotheque.idbe.bzh/document.php?id=colloque-francais-breton-le-lourec-1884-3034&l=fr
roparz_cours_elementaire_1930;Cours élémentaire de Breton (premier livret);1930;Roparz;1978;méthode;;https://bibliotheque.idbe.bzh/document.php?id=cours-elementaire-de-breton-premier-livret-7285&l=fr
daniel_ker_vreiz_1944;Ker Vreiz 1er Cours de Breton;1944;Daniel;;méthode;un lexique au début de chaque chapitre;https://bibliotheque.idbe.bzh/document.php?id=ker-vreiz-1er-cours-de-breton-12811&l=fr
geriadur_lexique_1927;Geriadur Gallek ha Brezonek a Gorfadurez;1927;Anonyme;;lexique;du français vers le breton;https://bibliotheque.idbe.bzh/document.php?id=geriadur-gallek-ha-brezonek-a-gorfadurez-18685&l=fr
le_gonidec_vocabulaire_1919;Vocabulaire Français Breton;1919;Le Gonidec;1838;dictionnaire;à écarter;https://bibliotheque.idbe.bzh/document.php?id=vocabulaire-francais-breton-17977&l=fr
normant_lexique_1902;Lexique Breton Français;1902;Normant;1904;lexique;;https://bibliotheque.idbe.bzh/document.php?id=lexique-breton-francais-3202&l=fr
toullec_lexique_1865;Manuel Breton - Français 1865;1865;Toullec;;lexique;;https://bibliotheque.idbe.bzh/document.php?id=manuel-breton-francais-1865-3751&l=fr
vallee_grand_dictionnaire_1931;Grand Dictionnaire Français Breton;1931;Vallée;;dictionnaire;;https://bibliotheque.idbe.bzh/document.php?id=grand-dictionnaire-francais-breton-42988&l=fr
yez_hon_tadou_1940;Yez Hon Tadoù;1940;Seite;1993;;;https://bibliotheque.idbe.bzh/document.php?id=yez-hon-tadou-26824&l=fr
